World        , Method  , SR (%)            , CE (m)              , Runs, Successes, Time-to-goal mean (s), Time-to-goal std (s), MPC solve mean (ms), MPC solve p95 (ms) , MPC solve max (ms)  , MPC solve samples
indoor_office, baseline, 33.333333333333336, 0.037607314483550695,    3,         1,     84.81889033317566, nan                 ,  46.77323007529306 ,  82.60639210011502 ,  925.5072579999251  ,               943
indoor_office, bo_opti , 33.333333333333336, 0.04844594870709687 ,    3,         1,     52.264484167099  , nan                 ,  23.40057269705737 ,  40.387188999602586,   53.042116000142414,               746
open_world   , baseline, 33.333333333333336, 0.058990324768037304,    3,         1,     41.55372953414917, nan                 ,  41.173989541143804,  59.19499639960576 ,  144.00315399961983 ,              1118
open_world   , bo_opti , 50.0              , 0.045774065942313945,    4,         2,     41.9420450925827 , 1.0242839011796447  ,  37.71876145344777 ,  76.0225777503365  ,  101.85376800018275 ,               816
warehouse    , baseline, 50.0              , 0.02707501832622113 ,    2,         1,    474.73702907562256, nan                 ,  60.538903797967194, 110.68555785018356 , 1518.2760280004004  ,              2554
warehouse    , bo_opti , 33.333333333333336, 0.05731570939136321 ,    3,         1,    188.5365345478058 , nan                 ,  51.10330116515085 , 100.62298790053319 , 1525.8948509999755  ,              3942
