World        , Method  , Metric                , Unit        , Sample filter              , N, Mean                   , Min                  , Max                  , Range
warehouse    , baseline, MPC solve max (ms)    , ms          , informative_runs           , 1, 1518.2760280004004     , 1518.2760280004004   , 1518.2760280004004   ,   0.0
warehouse    , baseline, MPC solve samples     , samples     , informative_runs           , 1, 2529.0                 , 2529.0               , 2529.0               ,   0.0
warehouse    , bo_opti , Success               , success flag, all_3_trials               , 3,    0.3333333333333333  ,    0.0               ,    1.0               ,   1.0
warehouse    , bo_opti , CE (m)                , m           , successful_runs            , 1,    0.0573157093913632  ,    0.0573157093913632,    0.0573157093913632,   0.0
warehouse    , bo_opti , Time-to-goal (s)      , s           , successful_informative_runs, 1,  188.5365345478058     ,  188.5365345478058   ,  188.5365345478058   ,   0.0
warehouse    , bo_opti , Path length (m)       , m           , informative_runs           , 2,   41.07151162669006    ,   35.46138902069754  ,   46.68163423268258  ,  11.220245211985045
warehouse    , bo_opti , Final dist to goal (m), m           , informative_runs           , 2,    4.0486393256332835  ,    0.3094063685156206,    7.787872282750947 ,   7.4784659142353265
warehouse    , bo_opti , MPC solve mean (ms)   , ms          , informative_runs           , 2,   48.4068135766944     ,   28.80306756066868  ,   68.01055959272011  ,  39.207492032051434
warehouse    , bo_opti , MPC solve p95 (ms)    , ms          , informative_runs           , 2,   77.37501999977212    ,   45.10563640005785  ,  109.64440359948638  ,  64.53876719942853
warehouse    , bo_opti , MPC solve max (ms)    , ms          , informative_runs           , 2, 1180.1799610000216     ,  834.4650710000678   , 1525.8948509999757   , 691.4297799999079
warehouse    , bo_opti , MPC solve samples     , samples     , informative_runs           , 2, 1961.0                 , 1673.0               , 2249.0               , 576.0
