World        , Trial, baseline_success, bo_success, baseline_quality                                  , bo_quality                  , baseline_Time-to-goal (s), bo_Time-to-goal (s), bo_minus_baseline_Time-to-goal (s), baseline_Path length (m), bo_Path length (m)   , bo_minus_baseline_Path length (m), baseline_Final dist to goal (m), bo_Final dist to goal (m), bo_minus_baseline_Final dist to goal (m), baseline_MPC solve mean (ms), bo_MPC solve mean (ms), bo_minus_baseline_MPC solve mean (ms), baseline_MPC solve p95 (ms), bo_MPC solve p95 (ms), bo_minus_baseline_MPC solve p95 (ms), baseline_MPC solve max (ms), bo_MPC solve max (ms), bo_minus_baseline_MPC solve max (ms)
indoor_office,     1,                1,          0, ok                                                , ok                          ,         84.81889033317566,                    ,                                   , 15.837968256709413      , 12.599285083039153   , -3.2386831736702604              ,              0.2670350901514063,        0.6550585248549364, 0.3880234347035301                      ,           39.1099808344497  ,     21.621949792012188, -17.488031042437512                  ,           66.98425440008576,    38.07333530030519 , -28.91091909978057                  ,          765.6025420001242 ,    53.042116000142414, -712.5604259999818
indoor_office,     2,                0,          1, ok                                                , ok                          ,                          ,   52.264484167099  ,                                   , 19.99929771535636       , 11.66351858177033    , -8.33577913358603                ,              0.9487775340819216,        0.3416706834336693, -0.6071068506482522                     ,           54.456267516656   ,     25.925179484546128, -28.53108803210987                   ,           92.37998189971675,    41.155449250118174, -51.22453264959858                  ,          925.5072579999252 ,    52.556464999724994, -872.9507930002002
indoor_office,     3,                0,          0, near_zero_path;low_path_msgs                      , near_zero_path;low_path_msgs,                          ,                    ,                                   , 1.0413065282204493e-08  , 1.554692265192921e-08, 5.133857369724717e-09            ,              8.975661544310746 ,        8.975661546460419 , 2.1496724400549283e-09                  ,           25.13262350007608 ,     18.69178747821697 , -6.440836021859109                   ,           54.94561594982769,    36.72154789987872 , -18.22406804994897                  ,           57.80585599995902,    47.08915299988803 , -10.716703000070993
open_world   ,     1,                0,          1, ok                                                , source_typo_opne_world      ,                          ,   42.66632318496704,                                   , 10.422953710789695      , 8.984374624467158    , -1.4385790863225374              ,             11.943867188371224 ,        0.2013584245530219, -11.742508763818202                     ,           42.09631372765693 ,     30.33845956267344 , -11.757854164983488                  ,           58.84282700017136,    53.71682460054216 , -5.126002399629201                  ,          144.00315399961983,    68.63265999982104 , -75.37049399979878
open_world   ,     2,                1,          1, ok                                                , source_typo_opne_world      ,         41.55372953414917,   41.21776700019837, -0.33596253395079856              , 8.852624056569832       , 9.068667315199278    , 0.21604325862944584              ,              0.3690051810712277,        0.4316847874872209, 0.06267960641599318                     ,           39.59956205569162 ,     47.02080400276167 , 7.421241947070051                    ,           59.28271359971404,    83.64646500012896 , 24.363751400414912                  ,           75.50086500032194,   101.85376800018275 , 26.352902999860817
open_world   ,     3,                0,          0, missing_or_no_samples;near_zero_path;low_path_msgs, missing_trial               ,                          ,                    ,                                   ,                         ,                      ,                                  ,                                ,                          ,                                         ,                             ,                       ,                                      ,                            ,                      ,                                     ,                            ,                      , 
warehouse    ,     1,                1,          0, ok                                                , ok                          ,        474.73702907562256,                    ,                                   , 73.96749196229695       , 46.68163423268258    , -27.285857729614364              ,              0.402971549352085 ,        7.787872282750947 , 7.3849007333988625                      ,           60.782578381972286,     68.01055959272011 , 7.227981210747828                    ,          111.15541720027976,   109.64440359948638 , -1.511013600793376                  ,         1518.2760280004004 ,  1525.8948509999757  , 7.618822999575286
warehouse    ,     2,                0,          1, missing_trial                                     , ok                          ,                          ,  188.5365345478058 ,                                   ,                         , 35.46138902069754    ,                                  ,                                ,        0.3094063685156206,                                         ,                             ,     28.80306756066868 ,                                      ,                            ,    45.10563640005785 ,                                     ,                            ,   834.4650710000678  , 
warehouse    ,     3,                0,          0, near_zero_path;low_path_msgs                      , near_zero_path;low_path_msgs,                          ,                    ,                                   , 4.003409289942201e-07   , 8.925573790437742e-09, -3.9141535520378234e-07          ,              8.975661601346076 ,        8.97566153550812  , -6.583795553183336e-08                  ,           35.888782880010694,     15.296631999922283, -20.59215088008841                   ,           45.3381197999988 ,    34.6321122003019  , -10.706007599696903                 ,           47.27389600020615,    44.094363000112935, -3.1795330000932154
