World        , Method  , Expected trials, Present valid bags, Informative runs, Successes, SR over 3 trials (%), SR informative only (%), Time-to-goal success mean (s), Path length informative mean (m), Final dist informative mean (m), CE success mean (m) , MPC solve informative mean (ms), MPC solve informative p95 mean (ms), MPC solve max observed (ms), MPC solve total samples
indoor_office, baseline,               3,                  3,                2,         1,    33.33333333333333,                    50.0,             84.81889033317566,               17.918632986032886,             0.6079063121166639 , 0.0376073144835506  ,              46.78312417555285 ,                  79.68211814990126 ,         845.5549000000246  ,                     933
indoor_office, bo_opti ,               3,                  3,                2,         1,    33.33333333333333,                    50.0,             52.264484167099  ,               12.131401832404741,             0.49836460414430284, 0.0484459487070968  ,              23.773564638279158,                  39.614392275211685,          52.799290499933704,                     723
open_world   , baseline,               3,                  2,                2,         1,    33.33333333333333,                    50.0,             41.55372953414917,                9.637788883679764,             6.156436184721225  , 0.0589903247680373  ,              40.84793789167428 ,                  59.0627702999427  ,         109.75200949997088 ,                    1118
open_world   , bo_opti ,               3,                  2,                2,         2,    66.66666666666666,                   100.0,             41.9420450925827 ,                9.026520969833218,             0.31652160602012136, 0.045774065942313896,              38.67963178271756 ,                  68.68164480033556 ,          85.2432140000019  ,                     816
warehouse    , baseline,               3,                  2,                1,         1,    33.33333333333333,                   100.0,            474.73702907562256,               73.96749196229695 ,             0.402971549352085  , 0.0270750183262211  ,              60.782578381972286,                 111.15541720027976 ,        1518.2760280004004  ,                    2529
warehouse    , bo_opti ,               3,                  3,                2,         1,    33.33333333333333,                    50.0,            188.5365345478058 ,               41.07151162669006 ,             4.0486393256332835 , 0.0573157093913632  ,              48.4068135766944  ,                  77.37501999977212 ,        1180.1799610000216  ,                    3922
