World        , Method  , success_rate_n, success_rate_mean , success_rate_range, ce_m_n, ce_m_mean           , ce_m_range          , time_to_goal_s_n, time_to_goal_s_mean, time_to_goal_s_range, path_length_m_n, path_length_m_mean, path_length_m_range , final_dist_m_n, final_dist_m_mean  , final_dist_m_range  , mpc_mean_ms_n, mpc_mean_ms_mean  , mpc_mean_ms_range  , mpc_p95_ms_n, mpc_p95_ms_mean    , mpc_p95_ms_range   , mpc_max_ms_n, mpc_max_ms_mean     , mpc_max_ms_range    , mpc_samples_n, mpc_samples_mean, mpc_samples_range
indoor_office, baseline,              3, 0.3333333333333333,                1.0,      1, 0.0376073144835506  , 0.0                 ,                1,   84.81889033317566,   0.0               ,               2, 17.918632986032886,  4.1613294586469465 ,              2, 0.6079063121166639 ,  0.6817424439305153 ,             2, 46.78312417555285 , 15.346286682206298 ,            2,  79.68211814990126 , 25.395727499630993 ,            2,  845.5549000000246  , 159.90471599980094  ,             2,            466.5,              27.0
indoor_office, bo_opti ,              3, 0.3333333333333333,                1.0,      1, 0.0484459487070968  , 0.0                 ,                1,   52.264484167099  ,   0.0               ,               2, 12.131401832404741,  0.935766501268823  ,              2, 0.49836460414430284,  0.31338784142126713,             2, 23.773564638279158,  4.3032296925339395,            2,  39.614392275211685,  3.0821139498129853,            2,   52.799290499933704,   0.4856510004174197,             2,            361.5,              75.0
open_world   , baseline,              3, 0.3333333333333333,                1.0,      1, 0.0589903247680373  , 0.0                 ,                1,   41.55372953414917,   0.0               ,               2,  9.637788883679764,  1.5703296542198633 ,              2, 6.156436184721225  , 11.574862007299997  ,             2, 40.84793789167428 ,  2.4967516719653062,            2,  59.0627702999427  ,  0.4398865995426817,            2,  109.75200949997088 ,  68.50228899929789  ,             2,            559.0,             292.0
open_world   , bo_opti ,              3, 0.6666666666666666,                1.0,      2, 0.045774065942313896, 0.011007114648455198,                2,   41.9420450925827 ,   1.4485561847686697,               2,  9.026520969833218,  0.08429269073211998,              2, 0.31652160602012136,  0.230326362934199  ,             2, 38.67963178271756 , 16.682344440088233 ,            2,  68.68164480033556 , 29.929640399586795 ,            2,   85.2432140000019  ,  33.22110800036171  ,             2,            408.0,              94.0
warehouse    , baseline,              3, 0.3333333333333333,                1.0,      1, 0.0270750183262211  , 0.0                 ,                1,  474.73702907562256,   0.0               ,               1, 73.96749196229695 ,  0.0                ,              1, 0.402971549352085  ,  0.0                ,             1, 60.782578381972286,  0.0               ,            1, 111.15541720027976 ,  0.0               ,            1, 1518.2760280004004  ,   0.0               ,             1,           2529.0,               0.0
warehouse    , bo_opti ,              3, 0.3333333333333333,                1.0,      1, 0.0573157093913632  , 0.0                 ,                1,  188.5365345478058 ,   0.0               ,               2, 41.07151162669006 , 11.220245211985045  ,              2, 4.0486393256332835 ,  7.4784659142353265 ,             2, 48.4068135766944  , 39.207492032051434 ,            2,  77.37501999977212 , 64.53876719942853  ,            2, 1180.1799610000216  , 691.4297799999079   ,             2,           1961.0,             576.0
